id;nom_medicament;nom_commercial;categorie;principe_actif;forme_pharmaceutique;dosage;indications;posologie;contre_indications;effets_secondaires;precautions_emploi;interactions_medicamenteuses;conservation;fabricant;pays_fabrication;prescription_requise;prix_estime;date_expiration;numero_lot;code_barres;langue_notice;url_notice_pdf;date_creation
1;Doliprane;Doliprane 500mg;Analgésique;Paracétamol;Comprimé;500mg;Traitement des douleurs légères à modérées et de la fièvre;1 à 2 comprimés par prise maximum 4g par jour;Insuffisance hépatique sévère;Réactions allergiques rares;Respecter la posologie maximale;Risque hépatique avec alcool;Conserver à l'abri de la chaleur;Sanofi;France;False;3.50;2026-12-15;LOT784512;3400936543210;Français;https://notice.medicaments.fr/doliprane_1.pdf;2024-01-10 10:00:00
2;Advil;Advil 400mg;Anti-inflammatoire;Ibuprofène;Gélule;400mg;Traitement des douleurs inflammatoires et de la fièvre;1 gélule par prise maximum 3 par jour;Ulcère gastrique insuffisance rénale;Nausées maux de ventre somnolence;Prendre pendant les repas;Risque hémorragique avec anticoagulants;Conserver hors de portée des enfants;Pfizer;Belgique;False;6.80;2026-09-20;LOT456123;3400923456789;Français;https://notice.medicaments.fr/advil_2.pdf;2024-02-15 14:30:00
3;Spasfon;Spasfon Lyoc 80mg;Antispasmodique;Phloroglucinol;Comprimé lyoc;80mg;Traitement des spasmes digestifs et biliaires;1 à 2 comprimés par prise max 6/jour;Allergie au phloroglucinol;Rarement bouche sèche;Conserver sous blister;Aucune interaction connue;Conserver à l'abri de l'humidité;Teva;France;False;3.95;2026-03-10;LOT567234;3400976543298;Français;https://notice.medicaments.fr/spasfon_3.pdf;2024-03-05 09:15:00
4;Augmentin;Augmentin 500mg;Antibiotique;Amoxicilline+Acide clavulanique;Comprimé;500mg;Infections ORL pulmonaires et urinaires;1 comprimé 3 fois par jour 7 jours;Allergie aux pénicillines;Diarrhée nausées candidose;Surveiller fonction rénale;Réduction efficacité pilule;Conserver entre 15-25°C;GSK;Royaume-Uni;True;11.90;2025-07-15;LOT923456;3400954321876;Anglais;https://notice.medicaments.fr/augmentin_4.pdf;2024-01-20 11:45:00
5;Levothyrox;Levothyrox 75µg;Hormone thyroïdienne;Lévothyroxine sodique;Comprimé;75µg;Traitement de l'hypothyroïdie;1 comprimé par jour à jeun;Insuffisance surrénale non traitée;Palpitations insomnie nervosité;Surveillance TSH régulière;Diminution absorption avec calcium;Conserver à l'abri de la lumière;Merck;Allemagne;True;7.45;2025-11-30;LOT345678;3400932187654;Français;https://notice.medicaments.fr/levothyrox_5.pdf;2024-02-28 08:00:00
6;Ventoline;Ventoline Evohaler;Bronchodilatateur;Salbutamol;Spray;100µg/dose;Crise d'asthme et bronchospasme;1 à 2 bouffées selon besoin;Allergie au salbutamol;Tremblements palpitations;Ne pas dépasser 8 bouffées/jour;Risque hypokaliémie avec corticoides;Température ambiante;GSK;Royaume-Uni;True;8.30;2026-05-20;LOT789012;3400956781234;Français/Anglais;https://notice.medicaments.fr/ventoline_6.pdf;2024-03-10 15:20:00
7;Metformine;Metformine 500mg;Antidiabétique;Metformine HCl;Comprimé;500mg;Diabète de type 2;1 comprimé matin et soir repas;Insuffisance rénale sévère;Troubles digestifs goût métallique;Surveillance fonction rénale;Risque hypoglycémie avec sulfamides;Conserver à l'abri de la chaleur;Merck;Allemagne;True;5.20;2025-10-15;LOT901234;3400965432109;Français;https://notice.medicaments.fr/metformine_7.pdf;2024-01-15 13:30:00
8;Smecta;Smecta 3g;Antidiarrhéique;Diosmectite;Sachet;3g;Diarrhées aiguës et chroniques;1 à 3 sachets par jour;Subocclusion intestinale;Constipation possible;Respecter posologie enfant;Diminution absorption autres médicaments;Température ambiante;Ipsen;France;False;4.50;2026-04-25;LOT678345;3400943217890;Français;https://notice.medicaments.fr/smecta_8.pdf;2024-02-20 10:45:00
9;Tahor;Tahor 10mg;Hypolipémiant;Atorvastatine;Comprimé;10mg;Hypercholestérolémie;1 comprimé par jour le soir;Maladie hépatique active grossesse;Douleurs musculaires fatigue;Contrôle enzymes hépatiques;Risque myopathie avec fibrates;Conserver entre 15-30°C;Pfizer;Irlande;True;11.25;2026-01-30;LOT234567;3400987654321;Français;https://notice.medicaments.fr/tahor_9.pdf;2024-03-01 16:00:00
10;Eludril;Eludril 0.2%;Antiseptique buccal;Chlorhexidine;Solution buvable;0.2%;Infections bucco-dentaires;10-15 ml bain de bouche 2x/jour;Hypersensibilité chlorhexidine;Coloration dentaire;Ne pas avaler;Diminution efficacité dentifrices;Température ambiante;Pierre Fabre;France;False;7.20;2025-09-30;LOT543210;3400912345678;Français;https://notice.medicaments.fr/eludril_10.pdf;2024-01-25 12:15:00
