date,medicine,quantity_sold
2023-01-01,Amoxicilline,21
2023-01-02,Amoxicilline,52
2023-01-03,Amoxicilline,48
2023-01-04,Amoxicilline,52
2023-01-05,Amoxicilline,49
2023-01-06,Amoxicilline,58
2023-01-07,Amoxicilline,46
2023-01-08,Amoxicilline,21
2023-01-09,Amoxicilline,30
2023-01-10,Amoxicilline,58
2023-01-11,Amoxicilline,42
2023-01-12,Amoxicilline,39
2023-01-13,Amoxicilline,36
2023-01-14,Amoxicilline,41
2023-01-15,Amoxicilline,34
2023-01-16,Amoxicilline,61
2023-01-17,Amoxicilline,54
2023-01-18,Amoxicilline,47
2023-01-19,Amoxicilline,40
2023-01-20,Amoxicilline,52
2023-01-21,Amoxicilline,39
2023-01-22,Amoxicilline,24
2023-01-23,Amoxicilline,64
2023-01-24,Amoxicilline,64
2023-01-25,Amoxicilline,59
2023-01-26,Amoxicilline,40
2023-01-27,Amoxicilline,59
2023-01-28,Amoxicilline,45
2023-01-29,Amoxicilline,31
2023-01-30,Amoxicilline,57
2023-01-31,Amoxicilline,55
2023-02-01,Amoxicilline,56
2023-02-02,Amoxicilline,52
2023-02-03,Amoxicilline,55
2023-02-04,Amoxicilline,29
2023-02-05,Amoxicilline,30
2023-02-06,Amoxicilline,43
2023-02-07,Amoxicilline,39
2023-02-08,Amoxicilline,64
2023-02-09,Amoxicilline,61
2023-02-10,Amoxicilline,64
2023-02-11,Amoxicilline,42
2023-02-12,Amoxicilline,36
2023-02-13,Amoxicilline,48
2023-02-14,Amoxicilline,51
2023-02-15,Amoxicilline,41
2023-02-16,Amoxicilline,51
2023-02-17,Amoxicilline,53
2023-02-18,Amoxicilline,32
2023-02-19,Amoxicilline,29
2023-02-20,Amoxicilline,47
2023-02-21,Amoxicilline,65
2023-02-22,Amoxicilline,57
2023-02-23,Amoxicilline,48
2023-02-24,Amoxicilline,54
2023-02-25,Amoxicilline,41
2023-02-26,Amoxicilline,28
2023-02-27,Amoxicilline,39
2023-02-28,Amoxicilline,49
2023-03-01,Amoxicilline,32
2023-03-02,Amoxicilline,28
2023-03-03,Amoxicilline,41
2023-03-04,Amoxicilline,32
2023-03-05,Amoxicilline,15
2023-03-06,Amoxicilline,34
2023-03-07,Amoxicilline,43
2023-03-08,Amoxicilline,43
2023-03-09,Amoxicilline,41
2023-03-10,Amoxicilline,38
2023-03-11,Amoxicilline,26
2023-03-12,Amoxicilline,18
2023-03-13,Amoxicilline,37
2023-03-14,Amoxicilline,39
2023-03-15,Amoxicilline,44
2023-03-16,Amoxicilline,41
2023-03-17,Amoxicilline,37
2023-03-18,Amoxicilline,24
2023-03-19,Amoxicilline,20
2023-03-20,Amoxicilline,36
2023-03-21,Amoxicilline,35
2023-03-22,Amoxicilline,33
2023-03-23,Amoxicilline,36
2023-03-24,Amoxicilline,35
2023-03-25,Amoxicilline,27
2023-03-26,Amoxicilline,23
2023-03-27,Amoxicilline,33
2023-03-28,Amoxicilline,38
2023-03-29,Amoxicilline,38
2023-03-30,Amoxicilline,28
2023-03-31,Amoxicilline,35
2023-04-01,Amoxicilline,37
2023-04-02,Amoxicilline,17
2023-04-03,Amoxicilline,23
2023-04-04,Amoxicilline,25
2023-04-05,Amoxicilline,37
2023-04-06,Amoxicilline,35
2023-04-07,Amoxicilline,38
2023-04-08,Amoxicilline,36
2023-04-09,Amoxicilline,12
2023-04-10,Amoxicilline,37
2023-04-11,Amoxicilline,46
2023-04-12,Amoxicilline,30
2023-04-13,Amoxicilline,33
2023-04-14,Amoxicilline,34
2023-04-15,Amoxicilline,26
2023-04-16,Amoxicilline,20
2023-04-17,Amoxicilline,43
2023-04-18,Amoxicilline,48
2023-04-19,Amoxicilline,35
2023-04-20,Amoxicilline,46
2023-04-21,Amoxicilline,39
2023-04-22,Amoxicilline,39
2023-04-23,Amoxicilline,21
2023-04-24,Amoxicilline,36
2023-04-25,Amoxicilline,39
2023-04-26,Amoxicilline,56
2023-04-27,Amoxicilline,40
2023-04-28,Amoxicilline,34
2023-04-29,Amoxicilline,35
2023-04-30,Amoxicilline,20
2023-05-01,Amoxicilline,23
2023-05-02,Amoxicilline,42
2023-05-03,Amoxicilline,37
2023-05-04,Amoxicilline,37
2023-05-05,Amoxicilline,39
2023-05-06,Amoxicilline,32
2023-05-07,Amoxicilline,23
2023-05-08,Amoxicilline,24
2023-05-09,Amoxicilline,41
2023-05-10,Amoxicilline,31
2023-05-11,Amoxicilline,27
2023-05-12,Amoxicilline,38
2023-05-13,Amoxicilline,31
2023-05-14,Amoxicilline,19
2023-05-15,Amoxicilline,40
2023-05-16,Amoxicilline,29
2023-05-17,Amoxicilline,34
2023-05-18,Amoxicilline,32
2023-05-19,Amoxicilline,38
2023-05-20,Amoxicilline,32
2023-05-21,Amoxicilline,18
2023-05-22,Amoxicilline,39
2023-05-23,Amoxicilline,37
2023-05-24,Amoxicilline,25
2023-05-25,Amoxicilline,24
2023-05-26,Amoxicilline,38
2023-05-27,Amoxicilline,29
2023-05-28,Amoxicilline,21
2023-05-29,Amoxicilline,35
2023-05-30,Amoxicilline,38
2023-05-31,Amoxicilline,43
2023-06-01,Amoxicilline,21
2023-06-02,Amoxicilline,23
2023-06-03,Amoxicilline,18
2023-06-04,Amoxicilline,17
2023-06-05,Amoxicilline,31
2023-06-06,Amoxicilline,25
2023-06-07,Amoxicilline,16
2023-06-08,Amoxicilline,18
2023-06-09,Amoxicilline,24
2023-06-10,Amoxicilline,20
2023-06-11,Amoxicilline,15
2023-06-12,Amoxicilline,26
2023-06-13,Amoxicilline,25
2023-06-14,Amoxicilline,32
2023-06-15,Amoxicilline,23
2023-06-16,Amoxicilline,24
2023-06-17,Amoxicilline,24
2023-06-18,Amoxicilline,12
2023-06-19,Amoxicilline,27
2023-06-20,Amoxicilline,27
2023-06-21,Amoxicilline,26
2023-06-22,Amoxicilline,32
2023-06-23,Amoxicilline,25
2023-06-24,Amoxicilline,30
2023-06-25,Amoxicilline,15
2023-06-26,Amoxicilline,20
2023-06-27,Amoxicilline,27
2023-06-28,Amoxicilline,22
